Region,Sector,Year,Num_Establishments,CompCommEquip,InternetAccess,Num_Employees,UseComputer,UseInternet,WebPresence,Intranet,Extranet
National Capital Region (NCR),ICT Sector,2015,1420,99.1,98.6,113396,85.8,80.3,46.5,37.6,11.4
National Capital Region (NCR),ICT Sector,2017,1370,99.6,98.7,124324,89.0,83.4,56.3,37.7,10.9
National Capital Region (NCR),ICT Sector,2019,1835,99.7,98.9,145487,75.6,74.9,57.8,39.7,11.4
National Capital Region (NCR),ICT Manufacturing Industries,2015,27,100.0,100.0,6996,37.7,26.6,51.9,33.3,11.1
National Capital Region (NCR),ICT Manufacturing Industries,2017,26,100.0,100.0,15076,72.5,62.3,53.8,34.6,11.5
National Capital Region (NCR),ICT Manufacturing Industries,2019,22,100.0,100.0,9189,25.2,23.5,36.4,40.9,9.1
National Capital Region (NCR),ICT Trade Industries,2015,310,98.7,98.1,11190,67.4,64.2,53.9,25.5,6.5
National Capital Region (NCR),ICT Trade Industries,2017,291,99.7,99.0,12371,63.5,57.7,56.7,25.8,8.9
National Capital Region (NCR),ICT Trade Industries,2019,452,100.0,98.2,15329,69.8,65.6,51.1,22.6,5.1
National Capital Region (NCR),ICT Service Industries,2015,1083,99.2,98.7,95210,91.5,86.2,44.3,41.2,12.8
National Capital Region (NCR),ICT Service Industries,2017,1053,99.5,98.6,96877,94.8,89.9,56.2,41.0,11.4
National Capital Region (NCR),ICT Service Industries,2019,1361,99.6,99.0,120970,80.2,80.0,60.4,45.4,13.6
National Capital Region (NCR),Software Publishing,2015,8,100.0,100.0,1961,95.2,84.9,50.0,50.0,37.5
National Capital Region (NCR),Software Publishing,2017,4,100.0,100.0,1381,99.7,99.7,100.0,50.0,25.0
National Capital Region (NCR),Software Publishing,2019,4,100.0,100.0,1562,100.0,100.0,100.0,75.0,25.0
National Capital Region (NCR),Telecommunication Services,2015,318,99.4,99.1,30864,88.7,77.1,24.8,28.9,7.2
National Capital Region (NCR),Telecommunication Services,2017,305,99.3,99.0,29261,92.7,81.9,30.2,23.9,7.9
National Capital Region (NCR),Telecommunication Services,2019,462,100.0,100.0,31235,95.9,95.2,33.3,25.8,10.8
National Capital Region (NCR),Computer Programming and Consultancy,2015,588,99.7,99.7,52509,93.4,90.9,62.1,49.3,13.1
National Capital Region (NCR),Computer Programming and Consultancy,2017,578,100.0,100.0,53973,96.1,94.4,73.0,51.9,12.6
National Capital Region (NCR),Computer Programming and Consultancy,2019,731,100.0,99.3,74430,77.1,77.1,77.6,60.2,14.9
National Capital Region (NCR),Data Processing and Web Portals,2015,56,100.0,96.4,8421,94.5,94.2,44.6,55.4,23.2
National Capital Region (NCR),Data Processing and Web Portals,2017,61,100.0,98.4,10906,97.7,92.6,49.2,49.2,6.6
National Capital Region (NCR),Data Processing and Web Portals,2019,48,100.0,100.0,12526,59.0,59.0,43.8,62.5,25.0
National Capital Region (NCR),Computer Repair,2015,113,95.6,93.8,1455,63.6,60.4,6.2,25.7,20.4
National Capital Region (NCR),Computer Repair,2017,105,97.1,89.5,1356,59.6,52.2,41.9,25.7,17.1
National Capital Region (NCR),Computer Repair,2019,116,95.7,93.1,1217,54.2,54.0,64.7,22.4,11.2
